uid,DT,DF,DL,DP,DC,BD,SL,TL,RL,LE,NQ,BT,DR,HR,DW,DG,SR,NDVI,RD,SB,GVI,SVI,RS,VMI,VHI,SDI,PD,WE
796,35.406046,176.828645,166.906806,143.979611,246.293472,0,0,0,0,0,0,0,0,0,134.572922,0.039859,3.5,0.147,0,0,0.296358,0.571793,0.094515088,0.118794,0.009473,0.629344088,0,6
797,190.413891,224.546804,828.446518,51.816063,587.497762,0.126588425,0,0,1,0,0.202712,1.167413,1.571071,195.923445,45.14134,0.387637,2,0.3338,182.589411,3.884881,0.504459,0.327179,0.126678669,0.107704,0.015233,0.680275678,140.714005,1
798,194.223157,179.959645,804.194365,92.085438,538.056136,0.273478633,0,0,0.996648,0.012397,0.119238,0.735665,1.738085,234.5345,45.017936,0.203332,1.5,0.3338,94.354254,15.725709,0.018764,0.402943,0.157075459,0.095371,0.01829,0.832083406,91.044502,5
799,147.313522,139.103129,782.389622,94.627241,488.728135,0.074697204,0,0,0.866224,0.264398,0.146996,1.042985,1.404277,226.189334,46.195564,0.78587,1.75,0.3338,100.431205,3.862739,0.328772,0.405196,0.197890507,0.081793,0.022579,0.748606864,87.635799,5
800,103.343664,106.366757,763.242075,57.329986,439.552017,0.008386876,0,0,0.857487,0.365968,0.122601,0.692975,1.55299,251.483994,43.984587,0.992634,1.666667,0.3696,54.691029,27.345515,0.149934,0.539152,0.117885177,0.158813,0.011898,0.674500407,84.227097,4
801,42.622347,131.173574,709.697005,107.186537,293.697686,0.209550845,0,0,1,0.624591,0.161911,0.999118,1.475843,196.977005,94.425895,0.621313,2.285714,0.4053,101.659056,6.77727,0.22024,0.595338,0.046265459,0.162502,0.00771,0.590269354,71.8032,1
802,127.626675,399.323784,380.644267,73.542083,114.165416,0.115650661,0.091308077,0,0.349472,0.73054,0.077948,0.921032,1.32637,226.440002,258.628738,0.884385,3.2,0.6112,65.704542,16.426135,0.287978,0.597288,0.19834348,0.084912,0.021105,0.580934988,66.902002,1
803,137.728395,380.089369,350.060832,73.107832,119.409589,0.436692104,0,0,0.920179,0.076547,0.154497,0.941765,1.36836,212.959,233.030334,0.597467,1.5,0.6112,56.277638,3.751843,0.235457,0.430721,0.012070749,0.133671,0.003532,0.75391401,67.123701,3
804,149.540079,366.710202,324.337961,101.395622,143.12078,0.374667421,0,0,0.954794,0.044169,0.28226,1.317103,1.345643,193.299667,215.944793,0.626112,1,0.6112,59.079366,4.544567,0.562869,0.278764,0.518569756,0.048456,0.050034,0.63221847,67.123701,2
805,130.28958,330.285344,304.709108,71.549894,178.06871,0.344206565,0,0,0.990983,0.008976,0.320309,1.71679,1.40359,203.431671,206.838041,0.710354,1.5,0.6112,60.206533,4.631272,0.56384,0.252359,0.097224045,0.114387,0.021846,0.691322212,64.484951,2
